aspect count
25
4
5
7
6
9
5
4
4
8
5
5
4
5
6
5
5
4
3
3
7
2
4
4
4
6
4
5
9
5
6
4
5
10
3
2
3
3
15
15
4
4
8
2
5
4
5
9
10
4
8
6
6
6
6
2
6
2
4
28
2
4
15
21
10
2
1
8
1
10
9
2
10
10
8
5
8
10
18
5
12
5
3
9
8
8
9
4
5
5
6
10
1
3
5
19
3
6
2
16
5
4
3
5
28
1
4
8
5
1
3
5
14
9
11
5
4
4
3
2
1
9
4
6
12
3
4
47
4
6
5
13
2
4
7
4
3
9
1
14
9
3
5
11
18
2
9
4
3
4
8
6
4
9
3
4
9
3
7
13
3
1
16
12
4
13
4
19
3
3
3
4
9
7
4
4
4
5
17
7
5
12
7
4
6
5
16
14
5
1
7
18
8
4
3
4
13
4
5
9
6
3
2
4
6
3
3
2
4
4
1
3
1
6
2
8
20
4
2
4
7
3
8
3
6
22
7
7
3
3
27
8
6
4
9
20
11
60
5
7
3
17
7
16
11
6
5
10
6
6
4
12
1
7
5
2
3
6
1
3
4
9
8
5
3
2
6
2
16
2
6
11
5
4
4
4
5
2
15
2
3
13
6
2
7
1
9
7
2
8
3
2
3
4
4
6
7
3
6
8
2
10
5
3
4
10
1
8
3
4
2
2
4
10
1
3
2
2
4
7
5
3
3
4
2
2
2
2
11
3
41
7
3
7
3
9
3
2
4
3
6
5
22
6
8
15
8
7
18
7
10
2
8
6
3
3
8
2
11
16
4
3
3
7
3
3
4
4
4
4
5
3
3
12
5
6
7
8
8
3
3
4
1
10
7
0
3
2
3
2
8
13
9
3
14
5
5
3
8
5
6
8
3
4
4
2
1
2
17
2
7
3
7
7
4
3
7
1
6
11
4
4
11
6
4
5
4
12
5
5
20
4
9
3
4
2
6
1
2
2
15
3
2
2
1
2
10
6
3
4
3
11
4
8
12
2
2
2
8
4
4
2
3
3
9
3
4
3
6
10
13
6
2
8
3
4
1
1
2
2
2
5
1
6
5
5
2
9
24
12
4
3
3
3
2
3
1
3
2
5
2
2
2
2
2
4
0
4
6
2
3
4
5
6
8
1
2
11
3
1
1
4
1
2
3
2
3
9
2
6
1
3
4
4
5
14
1
4
0
2
3
1
5
4
2
3
5
3
16
8
2
1
4
4
2
4
8
2
3
2
7
3
3
11
4
6
6
2
3
3
5
5
8
8
2
4
8
2
4
9
4
3
1
3
11
3
18
3
4
2
2
4
2
8
4
7
3
1
7
6
3
6
2
2
3
4
5
4
4
2
10
2
6
9
2
9
1
3
7
4
1
3
3
6
6
15
5
2
2
3
3
3
3
1
6
5
2
3
3
2
1
2
10
2
2
11
9
3
1
3
4
2
4
1
3
2
6
11
2
7
5
1
9
14
4
3
3
3
2
7
2
13
5
14
8
3
2
2
2
3
2
1
2
3
